Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    136.50     0.00   144061     0.00     0.00  operator new(unsigned long, void*)
  0.00    136.50     0.00   143586     0.00     0.00  jsonxx::parse_comment(std::istream&)
  0.00    136.50     0.00   140420     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::_M_rightmost()
  0.00    136.50     0.00   139948     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::_M_leftmost()
  0.00    136.50     0.00   139636     0.00     0.00  jsonxx::Value::~Value()
  0.00    136.50     0.00   130812     0.00     0.00  std::_Vector_base<jsonxx::Value*, std::allocator<jsonxx::Value*> >::_M_get_Tp_allocator()
  0.00    136.50     0.00   127847     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00    136.50     0.00   127847     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::_S_value(std::_Rb_tree_node_base const*)
  0.00    136.50     0.00   116228     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, jsonxx::Value*> >::operator->() const
  0.00    136.50     0.00   112296     0.00     0.00  std::_Miter_base<jsonxx::Value**>::iterator_type std::__miter_base<jsonxx::Value**>(jsonxx::Value**)
  0.00    136.50     0.00   110432     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, jsonxx::Value*> >::operator!=(std::_Rb_tree_const_iterator<std::pair<std::string const, jsonxx::Value*> > const&) const
  0.00    136.50     0.00   106920     0.00     0.00  jsonxx::assertion(char const*, int, char const*, bool)
  0.00    136.50     0.00   100768     0.00     0.00  jsonxx::Object::reset()
  0.00    136.50     0.00   100768     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, jsonxx::Value*> >::_Rb_tree_iterator()
  0.00    136.50     0.00   100768     0.00     0.00  std::map<std::string, jsonxx::Value*, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::begin()
  0.00    136.50     0.00   100768     0.00     0.00  std::map<std::string, jsonxx::Value*, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::clear()
  0.00    136.50     0.00   100768     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::clear()
  0.00    136.50     0.00   100768     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::_M_root()
  0.00    136.50     0.00    93421     0.00     0.00  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair(std::_Rb_tree_node_base* const&, std::_Rb_tree_node_base* const&)
  0.00    136.50     0.00    89416     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, jsonxx::Value*> > >::deallocate(std::_Rb_tree_node<std::pair<std::string const, jsonxx::Value*> >*, unsigned long)
  0.00    136.50     0.00    89416     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, jsonxx::Value*> > >::allocate(unsigned long, void const*)
  0.00    136.50     0.00    89416     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::string const, jsonxx::Value*> >::construct(std::pair<std::string const, jsonxx::Value*>*, std::pair<std::string const, jsonxx::Value*> const&)
  0.00    136.50     0.00    89416     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<std::_Rb_tree_node<std::pair<std::string const, jsonxx::Value*> > > >::deallocate(std::allocator<std::_Rb_tree_node<std::pair<std::string const, jsonxx::Value*> > >&, std::_Rb_tree_node<std::pair<std::string const, jsonxx::Value*> >*, unsigned long)
  0.00    136.50     0.00    89416     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<std::_Rb_tree_node<std::pair<std::string const, jsonxx::Value*> > > >::allocate(std::allocator<std::_Rb_tree_node<std::pair<std::string const, jsonxx::Value*> > >&, unsigned long)
  0.00    136.50     0.00    89416     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, jsonxx::Value*> > >::max_size() const
  0.00    136.50     0.00    89416     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, jsonxx::Value*> >::_M_const_cast() const
  0.00    136.50     0.00    89416     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, jsonxx::Value*> >::operator++()
  0.00    136.50     0.00    89416     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, jsonxx::Value*> >::_Rb_tree_const_iterator(std::_Rb_tree_iterator<std::pair<std::string const, jsonxx::Value*> > const&)
  0.00    136.50     0.00    89416     0.00     0.00  std::map<std::string, jsonxx::Value*, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::lower_bound(std::string const&)
  0.00    136.50     0.00    89416     0.00     0.00  std::map<std::string, jsonxx::Value*, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::insert(std::_Rb_tree_iterator<std::pair<std::string const, jsonxx::Value*> >, std::pair<std::string const, jsonxx::Value*> const&)
  0.00    136.50     0.00    89416     0.00     0.00  std::map<std::string, jsonxx::Value*, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::operator[](std::string const&)
  0.00    136.50     0.00    89416     0.00     0.00  std::pair<std::string const, jsonxx::Value*>::pair(std::pair<std::string const, jsonxx::Value*> const&)
  0.00    136.50     0.00    89416     0.00     0.00  std::pair<std::string const, jsonxx::Value*>::pair(std::string const&, jsonxx::Value* const&)
  0.00    136.50     0.00    89416     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::_M_insert_(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::pair<std::string const, jsonxx::Value*> const&)
  0.00    136.50     0.00    89416     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::_M_get_node()
  0.00    136.50     0.00    89416     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::_M_put_node(std::_Rb_tree_node<std::pair<std::string const, jsonxx::Value*> >*)
